date,dataoqiao,shawo,xinbaliqiao,wangjiabai,wucun,huairoushuiku
2019/1/1 0:00,11.1702069,11.06,6.39,6.04,10.71,13.92
2019/1/1 4:00,11.13144828,11.08,5.68,5.8,10.38,13.98
2019/1/1 8:00,11.09268966,10.95,5.91,5.92,10,13.97
2019/1/1 12:00,11.05393103,10.92,10.11,5.78,9.96,13.94
2019/1/1 16:00,11.01517241,11.48,11.99,5.84,10.27,13.96
2019/1/1 20:00,10.97641379,11.58,8.45,5.87,10.63,13.89
2019/1/2 0:00,10.93765517,9.2,5.82,13.16,14.23,14.8
2019/1/2 4:00,10.89889655,9.28,4.75,13.08,13.39,14.47
2019/1/2 8:00,10.86013793,9.4,4.7,12.62,13.21,14.64
2019/1/2 12:00,10.82137931,10.22,10,13.27,13.55,14.66
2019/1/2 16:00,10.78262069,10.42,12.36,12.5,14.75,14.72
2019/1/2 20:00,10.74386207,9.76,8.7,12.51,15.11,14.82
2019/1/3 0:00,10.70510345,8.66,5.28,17.610001,11.83,15.47
2019/1/3 4:00,10.66634483,10.2,3.46,17.459999,11.61,14.76
2019/1/3 8:00,10.62758621,8.69,4.06,18.45,11.64,14.98
2019/1/3 12:00,10.58882759,9.98,7.96,19.440001,13.31,12.985
2019/1/3 16:00,10.55006897,8.2,11.04,20.219999,14,10.99
2019/1/3 20:00,10.51131034,7.98,7.64,20.43,12.93,10.64
2019/1/4 0:00,10.47255172,8.58,5.96,5.57,10.68,8.63
2019/1/4 4:00,10.4337931,8.12,4.36,4.79,10.48,8.47
2019/1/4 8:00,10.39503448,8.67,4.6,4.26,10.96,8.33
2019/1/4 12:00,10.35627586,8.89,7.38,8.17,14.57,8.5
2019/1/4 16:00,10.31751724,9.893068206,8.395,14.28,16.040001,9.33
2019/1/4 20:00,10.27875862,9.33,9.41,13.98,15.18,8.63
2019/1/5 0:00,10.24,10.93,8.912307692,2.74,10.34,8.46
2019/1/5 4:00,9.22,10.5,8.414615385,2.35,9.63,8.44
2019/1/5 8:00,9.11,9.03,7.916923077,2.87,13.2,8.68
2019/1/5 12:00,10.77,9.54,7.419230769,9.01,16.190001,9.01
2019/1/5 16:00,11.32,13.13,6.921538462,16.5,22.18,9.27
2019/1/5 20:00,10.95,15.06,6.423846154,13.6,19.030001,9.42
2019/1/6 0:00,6.44,9.25,5.926153846,4.9,6.79,7.83
2019/1/6 4:00,4,7.9,5.428461538,2.57,5.99,7.82
2019/1/6 8:00,3.88,6,4.930769231,3.44,5.36,7.82
2019/1/6 12:00,8.24,7.71,4.433076923,6.16,7.35,8.26
2019/1/6 16:00,12.24,12.22,3.935384615,10.23,9.03,9.04
2019/1/6 20:00,12.28,9.81,3.437692308,8.68,7.75,9.39
2019/1/7 0:00,4.55,7.3,2.94,6.29,16.75,8.16
2019/1/7 4:00,2.49,7.12,1.98,7.76,13.05,8.33
2019/1/7 8:00,2.94,6.6,2.75,7.93,14.98,8.56
2019/1/7 12:00,7.76,6.75,5.2,18.77,30.77,9.92
2019/1/7 16:00,10.17,9.46,7.25,22.879999,32.5,10.7
2019/1/7 20:00,6.08,10.19,5.76,21.780001,32.580002,11.18
2019/1/8 0:00,6.58,4.49,2,1.02,11.75863292,9.24
2019/1/8 4:00,3.64,4.17,1.92,0.03,11.75863292,9.71
2019/1/8 8:00,4.13,3.44,2.31,9.148585759,11.75863292,9.43
2019/1/8 12:00,15.75,4.75,3.34,1.8,11.75863292,11.02
2019/1/8 16:00,19.040001,6.31,3.7,8.77,11.75863292,11.7
2019/1/8 20:00,16.139999,7.98,2.32,5.4,11.75863292,10.46
2019/1/9 0:00,10.36,8.0275,2.518571429,3.24,8.7,7.15
2019/1/9 4:00,8.11,8.075,2.717142857,2.02,2.01,7.12
2019/1/9 8:00,7.26,8.1225,2.915714286,1.03,11.75863292,7.62
2019/1/9 12:00,8.77,8.17,3.114285714,2.21,7.25,7.98
2019/1/9 16:00,8.89,6.83,3.312857143,5.11,12.36,9.45
2019/1/9 20:00,8.72,7.75,3.511428571,5.8,6.43,8.2
2019/1/10 0:00,7.59,8.11,3.71,6.28,8.4,6.65
2019/1/10 4:00,4.48,7.76,4.45,5.26,6.26,6.4
2019/1/10 8:00,4.62,7.13,4.41,6.05,5.23,6.56
2019/1/10 12:00,6.04,7.11,5.9,9.53,14.4,7.6
2019/1/10 16:00,10.11,7.29,6.27,14.41,22.620001,7.54
2019/1/10 20:00,9.16,6.82,4.69,5.7,13.18,6.98
2019/1/11 0:00,11.73,8.08,8.28,11.32,12.66,8.63
2019/1/11 4:00,11.94,7.59,7.7,8.97,12.16,8.84
2019/1/11 8:00,11.25,7.53,7.33,6.49,12.94,8.83
2019/1/11 12:00,12.64,7.23,8.92,6.55,15.07,9.12
2019/1/11 16:00,13.53,7.78,8.7,10.36,15.73,7.79
2019/1/11 20:00,13.1,8.5,8.56,11.12,13.23,7.6
2019/1/12 0:00,8.2,10.14,7.21,6.95,12.5,8.79
2019/1/12 4:00,8.31,10.21,7.19,6.7,12.12,9.56
2019/1/12 8:00,8.65,9.95,7.06,6.41,12.03,8.93
2019/1/12 12:00,8.64,10.01,8.5,6.36,12.46,8.85
2019/1/12 16:00,8.68,10.14,9.92,6.62,12.27,9.13
2019/1/12 20:00,8.69,10.47,9.79,7.32,11.7,8.68
2019/1/13 0:00,8.698920863,11.22,4.9,8.85,9.41,13.86
2019/1/13 4:00,8.707841727,11.17,4.45,9.03,9.35,13.73
2019/1/13 8:00,8.71676259,11.01,4.74,8.8,9.49,13.76
2019/1/13 12:00,8.725683453,11.07,8.87,8.55,9.63,14.05
2019/1/13 16:00,8.734604317,11.16,10.96,8.42,9.9,13.93
2019/1/13 20:00,8.74352518,11.11,7.32,8.35,9.8,13.84
2019/1/14 0:00,8.752446043,11.25,4.86,8.59,9.58,13.88
2019/1/14 4:00,8.761366906,11.28,4.06,8.78,9.62,13.75
2019/1/14 8:00,8.77028777,10.75,4.35,8.48,9.76,13.88
2019/1/14 12:00,8.779208633,11.05,8.42,8.21,9.94,13.93
2019/1/14 16:00,8.788129496,9.02,10.36,8.08,10.25,13.91
2019/1/14 20:00,8.79705036,9,7.16,8.26,10.01,13.9
2019/1/15 0:00,8.805971223,8.62,4.91,8.6,9.9,13.95
